Time,State,Servo Percentage,Apogee Prediction,Altitude Filtered,Acceleration Filtered,Velocity Filtered,Altitude,Acceleration X,Acceleration Y,Acceleration Z,Euler Angle 0,Euler Angle 1,Euler Angle 2,Temperature
1371.1449449062347,State.APOGEE,0,5740.382827545753,2805.199895109066,-60.62902069195692,-198.57388655543576,2805.9931848818005,-11.0892392,-4.527559200000001,-62.648189200000004,355.3125,-12.9375,151.875,70.8244739593938
1371.1648511886597,State.APOGEE,0,5740.382827545753,2804.1949870007224,-60.477622098221,-196.8485064886866,2805.9931848818005,-12.2375332,-3.9041995999999997,-60.3844096,355.1875,-12.1875,151.6875,70.81666415338404
1371.1849825382233,State.APOGEE,0,5740.382827545753,2800.5952229840623,-65.8946954460155,-197.75373713723695,2800.828256227414,-14.107612,-4.3963256,-69.24267760000001,355.1875,-11.375,151.5,70.81666415338404
1371.205162525177,State.APOGEE,0,5740.382827545753,2799.024016413445,-69.28167467600116,-196.78516622432056,2800.4465298352634,-15.2887144,-4.3307088,-71.3752236,355.3125,-10.5625,151.25,70.81666415338404
1371.2250578403473,State.APOGEE,0,5740.382827545753,2797.1554627305577,-76.59758974925299,-196.2337346220054,2798.396884343989,-14.435696000000002,-4.0026247999999995,-81.1193184,355.5,-9.625,150.9375,70.80104452376254
1371.2450211048126,State.APOGEE,0,5740.382827545753,2797.9840045476653,-82.69693012313226,-193.20532775886184,2800.828256227414,-13.4186356,-6.1679792,-86.4670876,355.75,-8.6875,150.5625,70.79323470015079
1371.2649154663086,State.APOGEE,0,5740.382827545753,2796.3532887111423,-83.83052304402489,-192.65585910999997,2797.7136964485408,-8.1036748,-5.5446196,-84.53139200000001,356.0625,-7.75,150.125,70.79323470015079
1371.2850289344788,State.APOGEE,0,5740.382827545753,2797.2620393853435,-78.9305529229469,-189.54609453523972,2800.1450130750613,-2.8871392,-9.02231,-75.9027828,356.5,-6.75,149.625,70.80104452376254
1371.305234670639,State.APOGEE,0,5740.382827545753,2796.7445153510484,-70.34746026615534,-187.8228402473197,2798.698406033841,-0.6561680000000001,-8.858268,-65.0432024,357.1875,-5.75,149.125,70.80104452376254
1371.3251221179962,State.APOGEE,0,5740.382827545753,2793.1390304729657,-64.29132838745285,-188.9994183624994,2793.2332903080105,0.0,-10.4658796,-60.5484516,357.75,-4.875,148.5,70.80885434150696
1371.3450810909271,State.APOGEE,0,5740.382827545753,2786.2804114673436,-59.3829089006024,-193.22473945705968,2784.4341827330936,-0.3608924,-11.023622399999999,-56.3489764,358.5625,-4.0,147.875,70.79323470015079
1371.3649933338165,State.APOGEE,0,5740.382827545753,2785.3248556348854,-56.412677277392305,-191.49910411077332,2787.0860776983973,0.8858268,-11.7782156,-54.5773228,359.3125,-3.25,147.1875,70.7854248706717
1371.3851165771484,State.APOGEE,0,5740.382827545753,2783.4540454048574,-56.089285253291706,-190.6577147445784,2784.655876980974,-5.9711288,-15.518373200000001,-55.8896588,0.0625,-2.5625,146.5,70.80104452376254
1371.405308008194,State.APOGEE,0,5740.382827545753,2785.5824125664867,-55.9857525433989,-185.97398430066534,2789.1350259378305,-1.8700788000000002,-15.813648800000001,-55.9224672,1.125,-1.875,145.75,70.77761503532528
1371.425206899643,State.APOGEE,0,5740.382827545753,2785.745353960797,-56.818255510865065,-183.31080986669463,2788.070582777637,-7.1522312,-21.2926516,-57.333228399999996,2.0625,-1.375,145.0,70.7854248706717
1371.445154428482,State.APOGEE,0,5740.382827545753,2787.7766882337924,-58.96101693513118,-178.92444422761292,2791.1840968020747,-8.595800800000001,-23.8188984,-60.285984400000004,3.125,-0.8125,144.1875,70.77761503532528
1371.4650580883026,State.APOGEE,0,5740.382827545753,2791.7850647730065,-59.272414139716865,-172.64336072871066,2796.3473615563316,-11.7125988,-29.7244104,-59.4657744,4.125,-0.25,143.4375,70.7854248706717
1371.48517537117,State.APOGEE,0,5740.382827545753,2796.2722724667483,-59.63464671470663,-165.98931666760987,2801.0495716806395,-15.124672400000001,-34.5800536,-59.8594752,5.1875,0.25,142.8125,70.7854248706717
1371.5053646564484,State.APOGEE,0,5740.382827545753,2791.419010597084,-54.52204362580295,-168.61495197766502,2790.501059554639,-13.451443999999999,-28.215224,-51.3620996,6.375,0.8125,142.1875,70.77761503532528
1371.5253057479858,State.APOGEE,0,5740.382827545753,2791.9074626368733,-53.035174115734314,-165.9182747495137,2794.2179115591234,-18.602362799999998,-35.3018384,-52.116692799999996,7.375,1.5,141.6875,70.7854248706717
1371.5452334880829,State.APOGEE,0,5740.382827545753,2794.487152219707,-51.00717104815258,-161.20925644582255,2798.0152188566067,-17.5196856,-31.233596799999997,-49.754487999999995,8.4375,2.3125,141.1875,70.76199534703046
1371.5651316642761,State.APOGEE,0,5740.382827545753,2792.195517538779,-49.056850666789174,-161.2681864594587,2792.771750943593,-11.8438324,-29.265092799999998,-47.8516008,9.375,3.1875,140.8125,70.76980519411154
1371.5852644443512,State.APOGEE,0,5740.382827545753,2795.8451844676424,-47.723427896873275,-155.43201866897763,2799.984657113159,-15.7808404,-30.807087600000003,-46.900157199999995,10.25,4.125,140.5,70.76980519411154
1371.6054589748383,State.APOGEE,0,5740.382827545753,2790.1940331639717,-47.133697966489336,-158.86327048531402,2788.6736630167466,-13.6811028,-29.560368399999998,-46.7689236,11.125,5.25,140.3125,70.76980519411154
1371.6254196166992,State.APOGEE,0,5740.382827545753,2782.9274713963564,-46.27997529938997,-163.7853337629377,2780.4789583911643,-12.1719164,-28.313649200000004,-45.7518632,11.9375,6.375,140.125,70.77761503532528
1371.6453597545624,State.APOGEE,0,5740.382827545753,2784.86873981177,-36.88951697531148,-159.5071783702054,2787.990696048985,1072.4081708,-0.0328084,-31.0865084,13.0,7.625,139.9375,70.7463756352663
